week,units_sold,flavor
1,6,chocolate
1,15,lemon
1,12,strawberry
1,6,vanilla
2,16,chocolate
2,7,lemon
2,7,strawberry
2,18,vanilla
3,5,chocolate
3,8,lemon
3,4,strawberry
3,9,vanilla
4,20,chocolate
4,12,lemon
4,1,strawberry
4,14,vanilla
5,4,chocolate
5,20,lemon
5,18,strawberry
5,7,vanilla
6,5,chocolate
6,6,lemon
6,4,strawberry
6,11,vanilla
7,13,chocolate
7,5,lemon
7,9,strawberry
7,3,vanilla
8,5,chocolate
8,18,lemon
8,9,strawberry
8,17,vanilla
9,2,chocolate
9,9,lemon
9,11,strawberry
9,12,vanilla
10,7,chocolate
10,14,lemon
10,18,strawberry
10,4,vanilla
11,13,chocolate
11,18,lemon
11,9,strawberry
11,5,vanilla
12,6,chocolate
12,16,lemon
12,10,strawberry
12,12,vanilla
13,1,chocolate
13,15,lemon
13,4,strawberry
13,13,vanilla
14,4,chocolate
14,14,lemon
14,4,strawberry
14,10,vanilla
15,20,chocolate
15,18,lemon
15,1,strawberry
15,12,vanilla
16,2,chocolate
16,13,lemon
16,17,strawberry
16,18,vanilla
17,5,chocolate
17,16,lemon
17,2,strawberry
17,11,vanilla
18,1,chocolate
18,20,lemon
18,14,strawberry
18,3,vanilla
19,2,chocolate
19,18,lemon
19,16,strawberry
19,18,vanilla
20,11,chocolate
20,13,lemon
20,9,strawberry
20,8,vanilla
21,6,chocolate
21,18,lemon
21,1,strawberry
21,11,vanilla
22,3,chocolate
22,18,lemon
22,13,strawberry
22,6,vanilla
23,15,chocolate
23,12,lemon
23,10,strawberry
23,5,vanilla
24,19,chocolate
24,8,lemon
24,9,strawberry
24,2,vanilla
25,13,chocolate
25,16,lemon
25,1,strawberry
25,1,vanilla
26,11,chocolate
26,1,lemon
26,1,strawberry
26,10,vanilla
27,9,chocolate
27,6,lemon
27,14,strawberry
27,5,vanilla
28,4,chocolate
28,12,lemon
28,8,strawberry
28,13,vanilla
29,15,chocolate
29,18,lemon
29,6,strawberry
29,4,vanilla
30,17,chocolate
30,17,lemon
30,7,strawberry
30,20,vanilla
31,1,chocolate
31,16,lemon
31,2,strawberry
31,13,vanilla
32,2,chocolate
32,17,lemon
32,9,strawberry
32,4,vanilla
33,11,chocolate
33,12,lemon
33,16,strawberry
33,8,vanilla
34,15,chocolate
34,19,lemon
34,4,strawberry
34,7,vanilla
35,18,chocolate
35,13,lemon
35,9,strawberry
35,5,vanilla
36,15,chocolate
36,17,lemon
36,4,strawberry
36,18,vanilla
37,6,chocolate
37,12,lemon
37,2,strawberry
37,16,vanilla
38,1,chocolate
38,11,lemon
38,10,strawberry
38,8,vanilla
39,15,chocolate
39,12,lemon
39,3,strawberry
39,15,vanilla
40,2,chocolate
40,20,lemon
40,2,strawberry
40,11,vanilla
41,4,chocolate
41,13,lemon
41,14,strawberry
41,8,vanilla
42,12,chocolate
42,17,lemon
42,5,strawberry
42,2,vanilla
43,4,chocolate
43,17,lemon
43,14,strawberry
43,6,vanilla
44,7,chocolate
44,20,lemon
44,2,strawberry
44,12,vanilla
45,10,chocolate
45,13,lemon
45,15,strawberry
45,6,vanilla
46,13,chocolate
46,18,lemon
46,3,strawberry
46,19,vanilla
47,14,chocolate
47,14,lemon
47,2,strawberry
47,18,vanilla
48,7,chocolate
48,15,lemon
48,4,strawberry
48,13,vanilla
49,17,chocolate
49,7,lemon
49,9,strawberry
49,8,vanilla
50,5,chocolate
50,9,lemon
50,8,strawberry
50,4,vanilla
51,11,chocolate
51,11,lemon
51,12,strawberry
51,20,vanilla
52,10,chocolate
52,9,lemon
52,1,strawberry
52,18,vanilla
